"cve_id","cwes","description","severity","exploitability","impact","published_date","last_modified_date","refs","code_refs","commits"
"CVE-2023-0107","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository usememos/memos prior to 0.10.0.","","","","2023-01-07T04:15Z","2023-01-12T15:04Z","{'https://github.com/usememos/memos/commit/0f8ce3dd1696722f951d7195ad1f88b39a5d15d7', 'https://huntr.dev/bounties/0b28fa57-acb0-47c8-ac48-962ff3898156'}","{'https://github.com/usememos/memos/commit/0f8ce3dd1696722f951d7195ad1f88b39a5d15d7'}","{'https://github.com/usememos/memos/commit/0f8ce3dd1696722f951d7195ad1f88b39a5d15d7'}"
"CVE-2023-0108","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository usememos/memos prior to 0.10.0.","","","","2023-01-07T04:15Z","2023-01-12T15:05Z","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c', 'https://huntr.dev/bounties/f66d33df-6588-4ab4-80a0-847451517944'}","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c'}","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c'}"
"CVE-2023-0110","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository usememos/memos prior to 0.10.0.","","","","2023-01-07T04:15Z","2023-01-12T15:05Z","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c', 'https://huntr.dev/bounties/6e4a1961-dbca-46f6-ae21-c25a621e54a7'}","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c'}","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c'}"
"CVE-2023-0111","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository usememos/memos prior to 0.10.0.","","","","2023-01-07T04:15Z","2023-01-12T15:05Z","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c', 'https://huntr.dev/bounties/70da256c-977a-487e-8a6a-9ae22caedbe3'}","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c'}","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c'}"
"CVE-2023-0112","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository usememos/memos prior to 0.10.0.","","","","2023-01-07T04:15Z","2023-01-12T15:05Z","{'https://huntr.dev/bounties/ec2a29dc-79a3-44bd-a58b-15f676934af6', 'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c'}","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c'}","{'https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c'}"
"CVE-2023-0210","{'CWE-787'}","A bug affects the Linux kernel’s ksmbd NTLMv2 authentication and is known to crash the OS immediately in Linux-based systems.","","","","2023-03-27T22:15Z","2023-08-02T17:04Z","{'https://github.com/cifsd-team/ksmbd/commit/8824b7af409f51f1316e92e9887c2fd48c0b26d6', 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=797805d81baa814f76cf7bdab35f86408a79d707', 'https://security.netapp.com/advisory/ntap-20230517-0002/', 'https://www.openwall.com/lists/oss-security/2023/01/11/1', 'https://www.openwall.com/lists/oss-security/2023/01/04/1', 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit', 'https://securityonline.info/cve-2023-0210-flaw-in-linux-kernel-allows-unauthenticated-remote-dos-attacks/'}","{'https://github.com/cifsd-team/ksmbd/commit/8824b7af409f51f1316e92e9887c2fd48c0b26d6', 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=797805d81baa814f76cf7bdab35f86408a79d707'}","{'https://github.com/cifsd-team/ksmbd/commit/8824b7af409f51f1316e92e9887c2fd48c0b26d6'}"
"CVE-2023-0227","{'CWE-613'}","Insufficient Session Expiration in GitHub repository pyload/pyload prior to 0.5.0b3.dev36.","","","","2023-01-12T01:15Z","2023-01-20T08:01Z","{'https://huntr.dev/bounties/af3101d7-fea6-463a-b7e4-a48be219e31b', 'https://github.com/pyload/pyload/commit/c035714c0596b704b11af0f8a669352f128ad2d9'}","{'https://github.com/pyload/pyload/commit/c035714c0596b704b11af0f8a669352f128ad2d9'}","{'https://github.com/pyload/pyload/commit/c035714c0596b704b11af0f8a669352f128ad2d9'}"
"CVE-2023-0240","{'CWE-416'}","There is a logic error in io_uring's implementation which can be used to trigger a use-after-free vulnerability leading to privilege escalation. In the io_prep_async_work function the assumption that the last io_grab_identity call cannot return false is not true, and in this case the function will use the init_cred or the previous linked requests identity to do operations instead of using the current identity. This can lead to reference counting issues causing use-after-free. We recommend upgrading past version 5.10.161.","","","","2023-01-30T14:15Z","2023-02-06T21:48Z","{'https://github.com/gregkh/linux/commit/1e6fa5216a0e59ef02e8b6b40d553238a3b81d49', 'https://kernel.dance/#788d0824269bef539fe31a785b1517882eafed93', 'https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/commit/io_uring?h=linux-5.10.y&id=788d0824269bef539fe31a785b1517882eafed93'}","{'https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/commit/io_uring?h=linux-5.10.y&id=788d0824269bef539fe31a785b1517882eafed93', 'https://github.com/gregkh/linux/commit/1e6fa5216a0e59ef02e8b6b40d553238a3b81d49'}","{'https://github.com/gregkh/linux/commit/1e6fa5216a0e59ef02e8b6b40d553238a3b81d49'}"
"CVE-2023-0247","{'CWE-427'}","Uncontrolled Search Path Element in GitHub repository bits-and-blooms/bloom prior to 3.3.1.","","","","2023-01-12T17:15Z","2023-01-20T19:52Z","{'https://huntr.dev/bounties/cab50e44-0995-4ac1-a5d5-889293b9704f', 'https://github.com/bits-and-blooms/bloom/commit/658f1393d4c52254a3d22f5f64f217405ec5fefb'}","{'https://github.com/bits-and-blooms/bloom/commit/658f1393d4c52254a3d22f5f64f217405ec5fefb'}","{'https://github.com/bits-and-blooms/bloom/commit/658f1393d4c52254a3d22f5f64f217405ec5fefb'}"
"CVE-2023-0266","{'CWE-416'}","A use after free vulnerability exists in the ALSA PCM package in the Linux Kernel. SNDRV_CTL_IOCTL_ELEM_{READ|WRITE}32 is missing locks that can be used in a use-after-free that can result in a priviledge escalation to gain ring0 access from the system user. We recommend upgrading past commit 56b88b50565cd8b946a2d00b0c83927b7ebb055e
","","","","2023-01-30T14:15Z","2023-08-29T17:59Z","{'https://git.kernel.org/pub/scm/linux/kernel/git/stable/stable-queue.git/tree/queue-5.10/alsa-pcm-move-rwsem-lock-inside-snd_ctl_elem_read-to-prevent-uaf.patch?id=72783cf35e6c55bca84c4bb7b776c58152856fd4', 'https://github.com/torvalds/linux/commit/becf9e5d553c2389d857a3c178ce80fdb34a02e1', 'https://github.com/torvalds/linux/commit/56b88b50565cd8b946a2d00b0c83927b7ebb055e', 'https://lists.debian.org/debian-lts-announce/2023/05/msg00006.html'}","{'https://github.com/torvalds/linux/commit/56b88b50565cd8b946a2d00b0c83927b7ebb055e', 'https://github.com/torvalds/linux/commit/becf9e5d553c2389d857a3c178ce80fdb34a02e1'}","{'https://github.com/torvalds/linux/commit/becf9e5d553c2389d857a3c178ce80fdb34a02e1', 'https://github.com/torvalds/linux/commit/56b88b50565cd8b946a2d00b0c83927b7ebb055e'}"
"CVE-2023-0288","{'CWE-122'}","Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.1189.","","","","2023-01-13T16:15Z","2023-03-28T05:15Z","{'http://seclists.org/fulldisclosure/2023/Mar/17', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/WYC22GGZ6QA66HLNLHCTAJU265TT3O33/', 'https://huntr.dev/bounties/550a0852-9be0-4abe-906c-f803b34e41d3', 'https://support.apple.com/kb/HT213670', 'https://github.com/vim/vim/commit/232bdaaca98c34a99ffadf27bf6ee08be6cc8f6a'}","{'https://github.com/vim/vim/commit/232bdaaca98c34a99ffadf27bf6ee08be6cc8f6a'}","{'https://github.com/vim/vim/commit/232bdaaca98c34a99ffadf27bf6ee08be6cc8f6a'}"
"CVE-2023-0289","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository craigk5n/webcalendar prior to master.","","","","2023-01-13T16:15Z","2023-01-20T07:53Z","{'https://huntr.dev/bounties/b9584c87-60e8-4a03-9e79-5f1e2d595361', 'https://github.com/craigk5n/webcalendar/commit/7906b4924c2dc3727c3540682f432ebbb93f810d'}","{'https://github.com/craigk5n/webcalendar/commit/7906b4924c2dc3727c3540682f432ebbb93f810d'}","{'https://github.com/craigk5n/webcalendar/commit/7906b4924c2dc3727c3540682f432ebbb93f810d'}"
"CVE-2023-0297","{'CWE-94'}","Code Injection in GitHub repository pyload/pyload prior to 0.5.0b3.dev31.","","","","2023-01-14T03:15Z","2023-06-15T21:15Z","{'http://packetstormsecurity.com/files/171096/pyLoad-js2py-Python-Execution.html', 'http://packetstormsecurity.com/files/172914/PyLoad-0.5.0-Remote-Code-Execution.html', 'https://huntr.dev/bounties/3fd606f7-83e1-4265-b083-2e1889a05e65', 'https://github.com/pyload/pyload/commit/7d73ba7919e594d783b3411d7ddb87885aea782d'}","{'https://github.com/pyload/pyload/commit/7d73ba7919e594d783b3411d7ddb87885aea782d'}","{'https://github.com/pyload/pyload/commit/7d73ba7919e594d783b3411d7ddb87885aea782d'}"
"CVE-2023-0298","{'CWE-863'}","Incorrect Authorization in GitHub repository firefly-iii/firefly-iii prior to 5.8.0.","","","","2023-01-14T08:15Z","2023-03-02T02:15Z","{'https://huntr.dev/bounties/9689052c-c1d7-4aae-aa08-346c9b6e04ed', 'https://github.com/firefly-iii/firefly-iii/commit/db0500dcf0d4f1990fc7a377ef0d56c3884fcaa4'}","{'https://github.com/firefly-iii/firefly-iii/commit/db0500dcf0d4f1990fc7a377ef0d56c3884fcaa4'}","{'https://github.com/firefly-iii/firefly-iii/commit/db0500dcf0d4f1990fc7a377ef0d56c3884fcaa4'}"
"CVE-2023-0299","{'CWE-20'}","Improper Input Validation in GitHub repository publify/publify prior to 9.2.10.","","","","2023-01-14T15:15Z","2023-01-23T14:22Z","{'https://github.com/publify/publify/commit/ca46da283572b4f8c0b5aa245008756c8a5fd1b1', 'https://huntr.dev/bounties/0049774b-1857-46dc-a834-f1fb15138c53'}","{'https://github.com/publify/publify/commit/ca46da283572b4f8c0b5aa245008756c8a5fd1b1'}","{'https://github.com/publify/publify/commit/ca46da283572b4f8c0b5aa245008756c8a5fd1b1'}"
"CVE-2023-0300","{'CWE-79'}","Cross-site Scripting (XSS) - Reflected in GitHub repository alfio-event/alf.io prior to 2.0-M4-2301.","","","","2023-01-14T18:15Z","2023-01-24T18:11Z","{'https://github.com/alfio-event/alf.io/commit/c1ae54ac84f1c7a5ec2831876f6445cb79be96fc', 'https://huntr.dev/bounties/0a91fec7-a76e-4ca3-80ba-81de1f10d59d'}","{'https://github.com/alfio-event/alf.io/commit/c1ae54ac84f1c7a5ec2831876f6445cb79be96fc'}","{'https://github.com/alfio-event/alf.io/commit/c1ae54ac84f1c7a5ec2831876f6445cb79be96fc'}"
"CVE-2023-0301","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository alfio-event/alf.io prior to Alf.io 2.0-M4-2301.","","","","2023-01-14T18:15Z","2023-01-24T18:14Z","{'https://huntr.dev/bounties/8a91e127-2903-4c6b-9a66-e4d2e30f8dec', 'https://github.com/alfio-event/alf.io/commit/21cb2866e5f58b4a2b4a2cb0066479bbb26f7b39'}","{'https://github.com/alfio-event/alf.io/commit/21cb2866e5f58b4a2b4a2cb0066479bbb26f7b39'}","{'https://github.com/alfio-event/alf.io/commit/21cb2866e5f58b4a2b4a2cb0066479bbb26f7b39'}"
"CVE-2023-0302","{'CWE-74'}","Failure to Sanitize Special Elements into a Different Plane (Special Element Injection) in GitHub repository radareorg/radare2 prior to 5.8.2.","","","","2023-01-15T01:15Z","2023-01-24T17:11Z","{'https://huntr.dev/bounties/583133af-7ae6-4a21-beef-a4b0182cf82e', 'https://github.com/radareorg/radare2/commit/961f0e723903011d4f54c2396e44efa91fcc74ce'}","{'https://github.com/radareorg/radare2/commit/961f0e723903011d4f54c2396e44efa91fcc74ce'}","{'https://github.com/radareorg/radare2/commit/961f0e723903011d4f54c2396e44efa91fcc74ce'}"
"CVE-2023-0306","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository thorsten/phpmyfaq prior to 3.1.10.","","","","2023-01-15T22:15Z","2023-01-23T14:25Z","{'https://github.com/thorsten/phpmyfaq/commit/1815daef61c432bb73b9dca43f03d140c94ef0c5', 'https://huntr.dev/bounties/cbba22f0-89ed-4d01-81ea-744979c8cbde'}","{'https://github.com/thorsten/phpmyfaq/commit/1815daef61c432bb73b9dca43f03d140c94ef0c5'}","{'https://github.com/thorsten/phpmyfaq/commit/1815daef61c432bb73b9dca43f03d140c94ef0c5'}"
"CVE-2023-0307","{'CWE-521'}","Weak Password Requirements in GitHub repository thorsten/phpmyfaq prior to 3.1.10.","","","","2023-01-15T22:15Z","2023-01-23T14:26Z","{'https://huntr.dev/bounties/fac01e9f-e3e5-4985-94ad-59a76485f215', 'https://github.com/thorsten/phpmyfaq/commit/8beed2fca5b0b82c6ba866d0ffd286d0c1fbf596'}","{'https://github.com/thorsten/phpmyfaq/commit/8beed2fca5b0b82c6ba866d0ffd286d0c1fbf596'}","{'https://github.com/thorsten/phpmyfaq/commit/8beed2fca5b0b82c6ba866d0ffd286d0c1fbf596'}"
"CVE-2023-0308","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository thorsten/phpmyfaq prior to 3.1.10.","","","","2023-01-15T22:15Z","2023-01-23T14:44Z","{'https://github.com/thorsten/phpmyfaq/commit/810ee26d25c3d97664532861863099952f0e9a1f', 'https://huntr.dev/bounties/83cfed62-af8b-4aaa-94f2-5a33dc0c2d69'}","{'https://github.com/thorsten/phpmyfaq/commit/810ee26d25c3d97664532861863099952f0e9a1f'}","{'https://github.com/thorsten/phpmyfaq/commit/810ee26d25c3d97664532861863099952f0e9a1f'}"
"CVE-2023-0309","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository thorsten/phpmyfaq prior to 3.1.10.","","","","2023-01-15T22:15Z","2023-01-23T14:48Z","{'https://huntr.dev/bounties/c03c5925-43ff-450d-9827-2b65a3307ed6', 'https://github.com/thorsten/phpmyfaq/commit/376d1d3e5a42edf07260e98461d2fddbee74419b'}","{'https://github.com/thorsten/phpmyfaq/commit/376d1d3e5a42edf07260e98461d2fddbee74419b'}","{'https://github.com/thorsten/phpmyfaq/commit/376d1d3e5a42edf07260e98461d2fddbee74419b'}"
"CVE-2023-0310","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository thorsten/phpmyfaq prior to 3.1.10.","","","","2023-01-15T22:15Z","2023-01-23T14:48Z","{'https://github.com/thorsten/phpmyfaq/commit/53099a9bcc928f5f6f7cce111c04b79a72a04142', 'https://huntr.dev/bounties/051d5e20-7fab-4769-bd7d-d986b804bb5a'}","{'https://github.com/thorsten/phpmyfaq/commit/53099a9bcc928f5f6f7cce111c04b79a72a04142'}","{'https://github.com/thorsten/phpmyfaq/commit/53099a9bcc928f5f6f7cce111c04b79a72a04142'}"
"CVE-2023-0311","{'CWE-287'}","Improper Authentication in GitHub repository thorsten/phpmyfaq prior to 3.1.10.","","","","2023-01-15T22:15Z","2023-01-23T14:49Z","{'https://huntr.dev/bounties/82b0b629-c56b-4651-af3f-17f749751857', 'https://github.com/thorsten/phpmyfaq/commit/fe6e9f02ef1b26a03134b9becda12687ee5f3214'}","{'https://github.com/thorsten/phpmyfaq/commit/fe6e9f02ef1b26a03134b9becda12687ee5f3214'}","{'https://github.com/thorsten/phpmyfaq/commit/fe6e9f02ef1b26a03134b9becda12687ee5f3214'}"
"CVE-2023-0312","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository thorsten/phpmyfaq prior to 3.1.10.","","","","2023-01-15T22:15Z","2023-01-24T14:56Z","{'https://huntr.dev/bounties/f50ec8d1-cd60-4c2d-9ab8-3711870d83b9', 'https://github.com/thorsten/phpmyfaq/commit/65d419ca04111ee2612ae81cdd59753654cfe18a'}","{'https://github.com/thorsten/phpmyfaq/commit/65d419ca04111ee2612ae81cdd59753654cfe18a'}","{'https://github.com/thorsten/phpmyfaq/commit/65d419ca04111ee2612ae81cdd59753654cfe18a'}"
"CVE-2023-0313","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository thorsten/phpmyfaq prior to 3.1.10.","","","","2023-01-15T22:15Z","2023-01-24T14:58Z","{'https://github.com/thorsten/phpmyfaq/commit/1123c0872314fa68d7d0d8136939f62270fb4b7b', 'https://huntr.dev/bounties/bc27e84b-1f91-4e1b-a78c-944edeba8256'}","{'https://github.com/thorsten/phpmyfaq/commit/1123c0872314fa68d7d0d8136939f62270fb4b7b'}","{'https://github.com/thorsten/phpmyfaq/commit/1123c0872314fa68d7d0d8136939f62270fb4b7b'}"
"CVE-2023-0314","{'CWE-79'}","Cross-site Scripting (XSS) - Reflected in GitHub repository thorsten/phpmyfaq prior to 3.1.10.","","","","2023-01-15T22:15Z","2023-01-24T15:00Z","{'https://github.com/thorsten/phpmyfaq/commit/3872e7eac2ddeac182fc1335cc312d1392d56f98', 'https://huntr.dev/bounties/eac0a9d7-9721-4191-bef3-d43b0df59c67'}","{'https://github.com/thorsten/phpmyfaq/commit/3872e7eac2ddeac182fc1335cc312d1392d56f98'}","{'https://github.com/thorsten/phpmyfaq/commit/3872e7eac2ddeac182fc1335cc312d1392d56f98'}"
"CVE-2023-0315","{'CWE-77'}","Command Injection in GitHub repository froxlor/froxlor prior to 2.0.8.","","","","2023-01-16T01:15Z","2023-04-06T17:15Z","{'http://packetstormsecurity.com/files/171108/Froxlor-2.0.6-Remote-Command-Execution.html', 'http://packetstormsecurity.com/files/171729/Froxlor-2.0.3-Stable-Remote-Code-Execution.html', 'https://huntr.dev/bounties/ff4e177b-ba48-4913-bbfa-ab8ce0db5943', 'https://github.com/froxlor/froxlor/commit/090cfc26f2722ac3036cc7fd1861955bc36f065a'}","{'https://github.com/froxlor/froxlor/commit/090cfc26f2722ac3036cc7fd1861955bc36f065a'}","{'https://github.com/froxlor/froxlor/commit/090cfc26f2722ac3036cc7fd1861955bc36f065a'}"
"CVE-2023-0316","{'CWE-29'}","Path Traversal: '\\..\\filename' in GitHub repository froxlor/froxlor prior to 2.0.0.","","","","2023-01-16T01:15Z","2023-01-24T15:07Z","{'https://huntr.dev/bounties/c190e42a-4806-47aa-aa1e-ff5d6407e244', 'https://github.com/froxlor/froxlor/commit/983d9294603925018225d672795bd8b4a526f41e'}","{'https://github.com/froxlor/froxlor/commit/983d9294603925018225d672795bd8b4a526f41e'}","{'https://github.com/froxlor/froxlor/commit/983d9294603925018225d672795bd8b4a526f41e'}"
"CVE-2023-0323","{'CWE-79'}","Cross-site Scripting (XSS) - Stored in GitHub repository pimcore/pimcore prior to 10.5.14.","","","","2023-01-16T15:15Z","2023-01-24T16:22Z","{'https://github.com/pimcore/pimcore/commit/746fac1a342841624f63ab13edcd340358e1bc04', 'https://huntr.dev/bounties/129d6a4b-0504-4de1-a72c-3f12c4552343'}","{'https://github.com/pimcore/pimcore/commit/746fac1a342841624f63ab13edcd340358e1bc04'}","{'https://github.com/pimcore/pimcore/commit/746fac1a342841624f63ab13edcd340358e1bc04'}"
"CVE-2023-0327","{'CWE-79'}","A vulnerability was found in saemorris TheRadSystem. It has been classified as problematic. Affected is an unknown function of the file users.php. The manipulation of the argument q leads to cross site scripting. It is possible to launch the attack remotely. VDB-218454 is the identifier assigned to this vulnerability.","","","","2023-01-16T19:15Z","2023-01-24T20:01Z","{'https://vuldb.com/?id.218454', 'https://github.com/saemorris/TheRadSystem/commit/bfba26bd34af31648a11af35a0bb66f1948752a6', 'https://vuldb.com/?ctiid.218454'}","{'https://github.com/saemorris/TheRadSystem/commit/bfba26bd34af31648a11af35a0bb66f1948752a6'}","{'https://github.com/saemorris/TheRadSystem/commit/bfba26bd34af31648a11af35a0bb66f1948752a6'}"
"CVE-2023-0337","{'CWE-79'}","Cross-site Scripting (XSS) - Reflected in GitHub repository lirantal/daloradius prior to master-branch.","","","","2023-01-17T16:15Z","2023-01-23T19:35Z","{'https://github.com/lirantal/daloradius/commit/e77a769c7503e63a2e3c05262cb5f8f81a4a7bbe', 'https://huntr.dev/bounties/1c50a5a5-3f55-4b6f-b861-4d5cdb6eb81b'}","{'https://github.com/lirantal/daloradius/commit/e77a769c7503e63a2e3c05262cb5f8f81a4a7bbe'}","{'https://github.com/lirantal/daloradius/commit/e77a769c7503e63a2e3c05262cb5f8f81a4a7bbe'}"
